Date	NumArticles	Counts	Themes	Locations	Persons	Organizations	ToneData	CAMEOEvents	Sources	SourceURLs
20170103	1		EPU_CATS_MIGRATION_FEAR_FEAR;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;EDUCATION;TAX_FNCACT;TAX_FNCACT_PROFESSORS;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;WB_135_TRANSPORT;TAX_FNCACT_DRIVERS;SCIENCE;EPU_ECONOMY_HISTORIC;TRAFFIC;DELAY;USPEC_UNCERTAINTY1;TAX_ECON_PRICE;MEDIA_MSM;BAN;	2#New York, United States#US#USNY#42.1497#-74.9384#NY;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889;3#San Francisco, California, United States#US#USCA#37.7749#-122.419#277593	daniela rus	artificial intelligence laboratory	-2.21606648199446,1.66204986149584,3.8781163434903,5.54016620498615,23.2686980609418,1.66204986149584		thesun.co.uk	https://www.thesun.co.uk/news/2524711/uber-about-to-wipe-iconic-new-york-city-yellow-taxis-off-the-face-of-the-planet-according-to-top-profs-and-our-black-cabs-are-next/
20170103	1			1#China#CH#CH#35#105#CH;2#New York, United States#US#USNY#42.1497#-74.9384#NY;2#Nevada, United States#US#USNV#38.4199#-117.122#NV;3#Las Vegas, Nevada, United States#US#USNV#36.175#-115.137#847388;3#White House, District Of Columbia, United States#US#USDC#38.8951#-77.0364#531871	kathy chen;donald trump;elon musk;knowlton thomas	google;artificial intelligence laboratory;twitter;white house;spacex;consumer electronics show in las vegas;microsoft;samsung;facebook	0.220913107511045,3.46097201767305,3.240058910162,6.70103092783505,22.3858615611193,0.368188512518409	613873716,613873717,613723185,613743231,613874660	techvibes.com	https://techvibes.com/2017/01/03/look-back-at-a-big-year-for-tech
20170103	1		TRAFFIC;SCIENCE;WB_135_TRANSPORT;TAX_FNCACT;TAX_FNCACT_DRIVERS;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_ECON_PRICE;UNGP_FORESTS_RIVERS_OCEANS;WB_1817_CONGESTION;WB_162_TRANSPORT_ECONOMICS;GENERAL_HEALTH;CRISISLEX_C06_WATER_SANITATION;MARITIME;	2#New York, United States#US#USNY#42.1497#-74.9384#NY;3#Berkeley, California, United States#US#USCA#37.8716#-122.273#1658037;3#Los Angeles County, California, United States#US#USCA#34.3667#-118.201#277283;3#San Francisco, California, United States#US#USCA#37.7749#-122.419#277593	daniela rus	artificial intelligence laboratory	-1.34874759152216,2.3121387283237,3.66088631984586,5.97302504816956,21.3872832369942,0.385356454720617		siliconbeat.com	http://www.siliconbeat.com/2017/01/03/uber-lyft-carpool-services-reduce-traffic-75-percent-study-says/
20170103	1		MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_EDITORS;CYBER_ATTACK;CRISISLEX_C07_SAFETY;ECON_IDENTITYTHEFT;MEDIA_SOCIAL;TAX_FNCACT_ASSISTANT;MANMADE_DISASTER_IMPLIED;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;KILL;CRISISLEX_T03_DEAD;TAX_FNCACT_ANALYST;TAX_ECON_PRICE;EPU_ECONOMY_HISTORIC;TAX_FNCACT_LEADER;	2#California, United States#US#USCA#36.17#-119.746#CA		gartner inc;google;partnership on artificial intelligence to benefit people;symantec;ibm;oracle;society uber;microsoft;samsung;huawei;gartner;facebook;intel	1.66975881261596,3.52504638218924,1.85528756957328,5.38033395176252,20.2226345083488,0.927643784786642		sci-tech-today.com	http://sci-tech-today.com/story.xhtml?story_id=00300081JCT3
20170103	1		URBAN;SCIENCE;TRAFFIC;WB_135_TRANSPORT;WB_1817_CONGESTION;WB_162_TRANSPORT_ECONOMICS;EDUCATION;TAX_FNCACT;TAX_FNCACT_PROFESSOR;TAX_ECON_PRICE;TAX_FNCACT_DRIVER;DELAY;USPEC_UNCERTAINTY1;	2#New York, United States#US#USNY#42.1497#-74.9384#NY;3#San Francisco, California, United States#US#USCA#37.7749#-122.419#277593	daniela rus	lyft carpooling services could;artificial intelligence lab	-1.32978723404255,0.797872340425532,2.12765957446809,2.92553191489362,24.2021276595745,0.265957446808511		fortune.com	http://fortune.com/2017/01/03/uber-lyft-carpooling/
20170103	1		EPU_ECONOMY_HISTORIC;URBAN;SCIENCE;CRISISLEX_CRISISLEXREC;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TRAFFIC;TAX_FNCACT;TAX_FNCACT_CEO;WB_135_TRANSPORT;PUBLIC_TRANSPORT;	1#United States#US#US#38#-97#US;2#New York, United States#US#USNY#42.1497#-74.9384#NY	elon musk	artificial intelligence laboratory	-0.740740740740741,1.72839506172839,2.46913580246914,4.19753086419753,21.7283950617284,0		econotimes.com	http://www.econotimes.com/MIT-Study-Says-3000-Uber-Cabs-Could-Serve-NYC-And-Obliterate-The-Taxi-Industry-470035
20170103	2		CRISISLEX_C07_SAFETY;CYBER_ATTACK;ECON_IDENTITYTHEFT;MEDIA_SOCIAL;TAX_FNCACT;TAX_FNCACT_ASSISTANT;MANMADE_DISASTER_IMPLIED;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;TRAFFIC;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;KILL;CRISISLEX_T03_DEAD;TAX_FNCACT_ANALYST;TAX_ECON_PRICE;EPU_ECONOMY_HISTORIC;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_661_BIG_DATA;WB_652_ICT_APPLICATIONS;WB_872_SMART_CITIES;WB_813_URBAN_GOVERNANCE_AND_CITY_SYSTEMS;WB_699_URBAN_DEVELOPMENT;WB_873_NON_TRADITIONAL_DATA_DRIVEN_MANAGEMENT;WB_658_ENTERPRISE_APPLICATIONS;TECH_BIGDATA;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_CIO;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;USPEC_POLICY1;EPU_POLICY_POLICY;	2#California, United States#US#USCA#36.17#-119.746#CA		google;gartner inc;partnership on artificial intelligence to benefit people;data centers;symantec;ibm;oracle;society uber;microsoft;samsung;huawei;gartner;facebook;intel	1.11524163568773,2.78810408921933,1.6728624535316,4.46096654275093,16.728624535316,0.185873605947955		toptechnews.com;toptechnews.com	http://www.toptechnews.com/article/index.php?story_id=0030001SHI53<UDIV>http://www.toptechnews.com/article/index.php?story_id=0030003H7PUF
20170103	2		TRAFFIC;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MASSACHUSETTS;URBAN;WB_135_TRANSPORT;WB_1817_CONGESTION;WB_162_TRANSPORT_ECONOMICS;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_DRIVERS;SCIENCE;TAX_FNCACT_PILOT;WB_164_MODES_OF_TRANSPORT;GENERAL_HEALTH;CRISISLEX_C06_WATER_SANITATION;	2#New York, United States#US#USNY#42.1497#-74.9384#NY;4#Stockholm, Stockholm, Sweden#SW#SW26#59.3333#18.05#-2524279;4#Dublin, Dublin, Ireland#EI#EI07#53.3331#-6.24889#-1502554;4#Berlin, Berlin, Germany#GM#GM16#52.5167#13.4#-1746443	daniela rus	bmw;toyota;massachusetts institute of technology;artificial intelligence lab	-3.09597523219814,2.1671826625387,5.26315789473684,7.43034055727554,24.4582043343653,0.309597523219814		bbc.co.uk;bbc.com	http://www.bbc.co.uk/news/technology-38496175<UDIV>http://www.bbc.com/news/technology-38496175
20170103	1		GENERAL_HEALTH;CRISISLEX_C06_WATER_SANITATION;UNGP_FORESTS_RIVERS_OCEANS;TRAFFIC;SCIENCE;WB_135_TRANSPORT;TAX_FNCACT;TAX_FNCACT_DRIVERS;TAX_FNCACT_DIRECTOR;DELAY;USPEC_UNCERTAINTY1;TAX_ECON_PRICE;	2#New York, United States#US#USNY#42.1497#-74.9384#NY	daniela rus	artificial intelligence laboratory	-1.01694915254237,2.03389830508475,3.05084745762712,5.08474576271187,22.0338983050847,0.338983050847458		newsweek.com	http://www.newsweek.com/uber-new-york-traffic-taxi-mit-study-537925
20170103	1		EPU_ECONOMY_HISTORIC;ECON_BITCOIN;MEDIA_SOCIAL;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_MANAGING_DIRECTOR;TAX_FNCACT_EXECUTIVES;SCIENCE;	1#China#CH#CH#35#105#CH;2#New York, United States#US#USNY#42.1497#-74.9384#NY;3#Las Vegas, Nevada, United States#US#USNV#36.175#-115.137#847388	kathy chen;knowlton thomas	artificial intelligence laboratory;spacex;twitter;consumer electronics show in las vegas;microsoft	2.90697674418605,4.65116279069767,1.74418604651163,6.3953488372093,18.3139534883721,0	613723185	techvibes.com	https://techvibes.com/2017/01/03/three-cool-computers-announced-at-ces-2017-today
20170103	1		MANMADE_DISASTER_IMPLIED;EPU_ECONOMY_HISTORIC;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MASSACHUSETTS;WB_135_TRANSPORT;SCIENCE;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_DRIVERS;	2#New York, United States#US#USNY#42.1497#-74.9384#NY;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871	daniela rus	artificial intelligence laboratory;washington post;massachusetts institute of technology;services uberpool and lyft line could put	-0.347826086956522,1.21739130434783,1.56521739130435,2.78260869565217,22.7826086956522,0		techtimes.com	http://www.techtimes.com/articles/191066/20170103/carpooling-services-uberpool-and-lyft-line-could-put-nyc-taxis-out-of-business-mit-study-finds.htm
20170103	1	KIDNAP#2#Artificial intelligence bots#2#Colorado, United States#US#USCO#39.0646#-105.327#CO;	ECON_BANKRUPTCY;EPU_UNCERTAINTY;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;ECON_STOCKMARKET;EPU_ECONOMY_HISTORIC;EPU_ECONOMY;ECON_ENTREPRENEURSHIP;CRISISLEX_CRISISLEXREC;INTERNET_BLACKOUT;TOURISM;TAX_FNCACT;TAX_FNCACT_TOURIST;ECON_CENTRALBANK;WB_1235_CENTRAL_BANKS;WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_1234_BANKING_INSTITUTIONS;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_CENTRAL_BANK;EPU_CATS_MONETARY_POLICY;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HEADQUARTERS;ECON_HOUSING_PRICES;TAX_ETHNICITY;TAX_ETHNICITY_ITALIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_ITALIAN;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLAR;TAX_ECON_PRICE;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;RELEASE_HOSTAGE;WB_728_PUBLIC_SERVICE_DELIVERY;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_723_PUBLIC_ADMINISTRATION;WB_721_STATE_OWNED_ENTERPRISES;TAX_ETHNICITY_FRENCH;TAX_WORLDLANGUAGES_FRENCH;TAX_FNCACT_ECONOMIST;TAX_FNCACT_MANAGER;TAX_DISEASE;TAX_DISEASE_DEPRESSION;ECON_WORLDCURRENCIES_EURO;CYBER_ATTACK;TAX_FNCACT_HACKERS;TAX_FNCACT_CHIEF;CRISISLEX_C07_SAFETY;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_SECURITY_OFFICER;MEDIA_SOCIAL;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_INSIDER;RETALIATE;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_T11_UPDATESSYMPATHY;SELF_IDENTIFIED_HUMAN_RIGHTS;FREESPEECH;UNGP_POLITICAL_FREEDOMS;KIDNAP;WB_670_ICT_SECURITY;SOC_RANSOM;	4#Rome, Lazio, Italy#IT#IT07#41.9#12.4833#-126693;1#Germany#GM#GM#51#9#GM;2#Colorado, United States#US#USCO#39.0646#-105.327#CO;1#Ireland#EI#EI#53#-8#EI;1#Spain#SP#SP#40#-4#SP;1#Italy#IT#IT#42.8333#12.8333#IT;1#Greece#GR#GR#39#22#GR;1#United Kingdom#UK#UK#54#-2#UK	donald trump;steve carrell;steve eisman;alessia pierdomenico bloomberg;krisztian bocsi bloomberg;monte paschi;vladimir putin;bob elsdale getty;james carder	instagram;european central bank;twitter;european union	-5.29411764705882,1.29411764705882,6.58823529411765,7.88235294117647,24.1176470588235,0.470588235294118		huffingtonpost.ca	http://www.huffingtonpost.ca/2017/01/03/wildest-predictions-2017_n_13818912.html
20170103	2		CYBER_ATTACK;WB_678_DIGITAL_GOVERNMENT;WB_670_ICT_SECURITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_CRISISLEXREC;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;EPU_ECONOMY_HISTORIC;MEDIA_MSM;MANMADE_DISASTER_IMPLIED;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIA;ELECTION;CRISISLEX_C07_SAFETY;ECON_IDENTITYTHEFT;TAX_FNCACT;TAX_FNCACT_CEO;WB_2947_OPERATING_SYSTEMS;WB_669_SOFTWARE_INFRASTRUCTURE;MEDIA_SOCIAL;TAX_FNCACT_ASSISTANT;WB_135_TRANSPORT;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;KILL;CRISISLEX_T03_DEAD;TAX_FNCACT_ANALYST;TAX_ECON_PRICE;TAX_FNCACT_LEADER;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;EPU_CATS_REGULATION;	2#California, United States#US#USCA#36.17#-119.746#CA;1#Russia#RS#RS#60#100#RS	sundar pichair	google;symantec;verizon;ibm;member of accuserve ad network;microsoft;samsung;huawei;gartner;facebook;qualcomm;privacy policy terms of service;yahoo;intel;gartner inc;partnership on artificial intelligence to benefit people;newsfactor network;oracle	0.837320574162679,3.58851674641148,2.7511961722488,6.33971291866029,18.4210526315789,0	613715621,613715629,613715621,613715629	sci-tech-today.com;enterprise-security-today.com	http://www.sci-tech-today.com/news/What-Were-2016-s-Top-Tech-Trends-/story.xhtml?story_id=00300081JCT3<UDIV>http://www.enterprise-security-today.com/story.xhtml?story_id=003000C3ZZMF
